timestamp,building_id,asset_id,asset_type,nominal_voltage_V,voltage_V,current_A,capacity_kw,ambient_temperature_C
2026-01-01 00:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.01,43.27,45,18.77
2026-01-01 01:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.49,43.38,45,19.61
2026-01-01 02:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.75,43.32,45,20.13
2026-01-01 03:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.84,46.87,45,18.3
2026-01-01 04:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.11,48.59,45,17.71
2026-01-01 05:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.17,54.25,45,18.14
2026-01-01 06:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.2,64.85,45,24.41
2026-01-01 07:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.09,84.21,45,23.29
2026-01-01 08:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,209.17,83.73,45,24.0
2026-01-01 09:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.92,94.47,45,22.78
2026-01-01 10:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.44,106.26,45,23.91
2026-01-01 11:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.03,98.82,45,28.69
2026-01-01 12:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.19,112.44,45,26.5
2026-01-01 13:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,206.92,121.89,45,27.03
2026-01-01 14:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.3,116.26,45,27.72
2026-01-01 15:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.58,122.43,45,26.65
2026-01-01 16:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,206.98,123.01,45,29.37
2026-01-01 17:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.26,120.27,45,29.14
2026-01-01 18:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.09,91.1,45,24.25
2026-01-01 19:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.76,95.45,45,26.32
2026-01-01 20:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.5,95.21,45,23.51
2026-01-01 21:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.4,66.81,45,23.62
2026-01-01 22:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,209.13,64.74,45,21.86
2026-01-01 23:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.02,67.47,45,23.0
2026-01-02 00:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.36,47.71,45,18.07
2026-01-02 01:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.56,49.77,45,20.06
2026-01-02 02:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.91,50.38,45,18.22
2026-01-02 03:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.97,46.17,45,17.65
2026-01-02 04:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.59,44.64,45,19.97
2026-01-02 05:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.78,64.44,45,19.97
2026-01-02 06:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.84,54.81,45,22.69
2026-01-02 07:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.67,84.48,45,23.08
2026-01-02 08:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.88,84.48,45,23.81
2026-01-02 09:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.38,102.07,45,22.55
2026-01-02 10:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.69,100.36,45,22.15
2026-01-02 11:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.22,95.22,45,27.48
2026-01-02 12:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.07,111.5,45,27.5
2026-01-02 13:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,206.98,110.1,45,27.86
2026-01-02 14:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.48,110.32,45,26.7
2026-01-02 15:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.8,118.12,45,29.03
2026-01-02 16:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.9,119.99,45,26.92
2026-01-02 17:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.55,127.76,45,27.27
2026-01-02 18:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.31,93.47,45,25.87
2026-01-02 19:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.68,93.59,45,26.1
2026-01-02 20:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.33,101.28,45,26.44
2026-01-02 21:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,209.19,64.02,45,24.29
2026-01-02 22:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.27,71.35,45,21.61
2026-01-02 23:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.32,71.88,45,23.18
2026-01-03 00:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,206.94,43.49,45,19.55
2026-01-03 01:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,206.86,43.51,45,19.04
2026-01-03 02:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.61,43.35,45,20.43
2026-01-03 03:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,206.86,43.51,45,19.89
2026-01-03 04:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.55,43.36,45,18.48
2026-01-03 05:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.49,51.33,45,20.36
2026-01-03 06:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.35,53.18,45,22.1
2026-01-03 07:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.19,61.5,45,22.9
2026-01-03 08:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.01,62.74,45,21.85
2026-01-03 09:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.59,82.11,45,23.02
2026-01-03 10:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.81,87.29,45,23.8
2026-01-03 11:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.92,79.6,45,28.93
2026-01-03 12:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.83,97.67,45,29.14
2026-01-03 13:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.9,94.1,45,27.31
2026-01-03 14:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.69,96.8,45,27.91
2026-01-03 15:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,209.07,92.47,45,26.68
2026-01-03 16:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.44,99.61,45,27.08
2026-01-03 17:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,209.02,92.66,45,27.93
2026-01-03 18:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,206.87,75.57,45,26.36
2026-01-03 19:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.24,74.52,45,23.58
2026-01-03 20:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.6,80.6,45,25.36
2026-01-03 21:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.71,56.31,45,24.37
2026-01-03 22:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.83,57.33,45,21.7
2026-01-03 23:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.36,48.92,45,22.93
2026-01-04 00:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.33,43.2,45,18.29
2026-01-04 01:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.66,43.34,45,18.44
2026-01-04 02:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.05,43.47,45,19.66
2026-01-04 03:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.03,43.47,45,20.07
2026-01-04 04:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.39,43.19,45,19.7
2026-01-04 05:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.4,44.44,45,20.3
2026-01-04 06:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.14,43.45,45,23.76
2026-01-04 07:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.51,65.53,45,23.05
2026-01-04 08:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.09,67.84,45,22.75
2026-01-04 09:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.2,85.0,45,23.07
2026-01-04 10:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.13,86.54,45,21.95
2026-01-04 11:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.96,84.15,45,27.98
2026-01-04 12:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,206.98,87.92,45,26.79
2026-01-04 13:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.59,86.45,45,28.59
2026-01-04 14:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.97,91.09,45,29.21
2026-01-04 15:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.68,102.49,45,28.91
2026-01-04 16:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.22,103.37,45,29.02
2026-01-04 17:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.7,103.83,45,29.04
2026-01-04 18:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.33,82.23,45,25.31
2026-01-04 19:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,206.98,79.32,45,25.45
2026-01-04 20:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.17,77.74,45,23.65
2026-01-04 21:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,209.13,51.69,45,23.76
2026-01-04 22:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.42,55.81,45,23.49
2026-01-04 23:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.26,51.02,45,20.61
2026-01-05 00:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.18,49.36,45,20.1
2026-01-05 01:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.19,43.44,45,19.57
2026-01-05 02:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.82,44.97,45,17.81
2026-01-05 03:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.54,45.82,45,19.62
2026-01-05 04:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,206.97,46.31,45,20.1
2026-01-05 05:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,209.12,60.47,45,19.34
2026-01-05 06:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.77,64.95,45,22.07
2026-01-05 07:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.79,82.62,45,22.31
2026-01-05 08:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.91,87.94,45,22.19
2026-01-05 09:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,209.06,103.27,45,21.84
2026-01-05 10:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.4,96.27,45,23.6
2026-01-05 11:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.14,96.03,45,28.46
2026-01-05 12:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.27,118.04,45,28.65
2026-01-05 13:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.63,121.17,45,27.65
2026-01-05 14:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.05,119.79,45,27.36
2026-01-05 15:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.67,120.14,45,26.54
2026-01-05 16:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.24,121.83,45,28.85
2026-01-05 17:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,209.08,119.14,45,29.19
2026-01-05 18:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.61,97.18,45,25.1
2026-01-05 19:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.09,89.16,45,23.87
2026-01-05 20:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.56,97.38,45,23.8
2026-01-05 21:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,206.84,62.35,45,26.16
2026-01-05 22:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.57,69.38,45,23.35
2026-01-05 23:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.88,67.43,45,23.22
2026-01-06 00:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,209.1,43.04,45,17.67
2026-01-06 01:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.94,43.28,45,18.76
2026-01-06 02:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.5,43.71,45,20.13
2026-01-06 03:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.12,43.68,45,18.14
2026-01-06 04:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,209.19,43.02,45,18.22
2026-01-06 05:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,209.11,62.23,45,19.19
2026-01-06 06:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.89,54.93,45,23.0
2026-01-06 07:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.45,81.42,45,23.12
2026-01-06 08:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.15,81.01,45,22.21
2026-01-06 09:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.36,97.17,45,24.39
2026-01-06 10:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.24,107.69,45,23.26
2026-01-06 11:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.1,100.89,45,27.48
2026-01-06 12:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.7,111.98,45,27.38
2026-01-06 13:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.98,111.85,45,28.68
2026-01-06 14:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.41,121.33,45,26.63
2026-01-06 15:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.45,122.69,45,28.92
2026-01-06 16:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.34,125.01,45,28.15
2026-01-06 17:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.03,130.13,45,27.41
2026-01-06 18:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.41,99.36,45,24.14
2026-01-06 19:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.54,100.79,45,24.7
2026-01-06 20:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.56,91.75,45,25.01
2026-01-06 21:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.64,69.85,45,23.77
2026-01-06 22:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.96,67.82,45,21.11
2026-01-06 23:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.9,63.46,45,22.09
2026-01-07 00:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.17,43.44,45,19.38
2026-01-07 01:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.95,44.06,45,18.73
2026-01-07 02:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,206.96,51.6,45,19.73
2026-01-07 03:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.76,43.32,45,19.39
2026-01-07 04:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.67,43.34,45,17.87
2026-01-07 05:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.21,63.97,45,17.52
2026-01-07 06:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.52,64.81,45,23.24
2026-01-07 07:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.98,81.83,45,23.19
2026-01-07 08:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.41,79.21,45,22.03
2026-01-07 09:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.6,102.19,45,22.67
2026-01-07 10:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.51,103.91,45,21.9
2026-01-07 11:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.39,104.21,45,26.92
2026-01-07 12:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.34,115.23,45,28.63
2026-01-07 13:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.11,114.41,45,28.85
2026-01-07 14:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,209.06,120.06,45,28.21
2026-01-07 15:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.53,117.89,45,26.9
2026-01-07 16:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.94,122.74,45,28.84
2026-01-07 17:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.47,121.18,45,29.05
2026-01-07 18:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.08,98.78,45,24.4
2026-01-07 19:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.11,98.04,45,24.51
2026-01-07 20:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.46,97.68,45,26.31
2026-01-07 21:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.34,72.53,45,24.84
2026-01-07 22:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.35,66.86,45,20.74
2026-01-07 23:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.43,69.53,45,22.92
2026-01-08 00:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.18,43.23,45,19.54
2026-01-08 01:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.06,43.26,45,19.58
2026-01-08 02:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.48,43.38,45,19.51
2026-01-08 03:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.73,50.62,45,17.93
2026-01-08 04:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.59,48.16,45,19.69
2026-01-08 05:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.89,62.31,45,20.07
2026-01-08 06:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,206.96,55.12,45,22.6
2026-01-08 07:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.94,86.89,45,23.93
2026-01-08 08:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.82,82.45,45,22.48
2026-01-08 09:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.69,99.02,45,21.6
2026-01-08 10:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.87,100.04,45,22.42
2026-01-08 11:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.73,100.17,45,28.68
2026-01-08 12:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,206.86,116.72,45,27.41
2026-01-08 13:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.5,120.95,45,27.76
2026-01-08 14:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.77,114.38,45,26.84
2026-01-08 15:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.29,127.85,45,28.76
2026-01-08 16:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.06,130.63,45,26.84
2026-01-08 17:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.09,125.53,45,27.52
2026-01-08 18:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.39,99.24,45,25.8
2026-01-08 19:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.99,95.72,45,26.06
2026-01-08 20:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.44,96.77,45,26.09
2026-01-08 21:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,206.96,62.55,45,26.03
2026-01-08 22:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.67,69.26,45,22.2
2026-01-08 23:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,209.11,62.96,45,22.48
2026-01-09 00:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.81,48.27,45,18.67
2026-01-09 01:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,208.75,50.77,45,18.43
2026-01-09 02:00:00,Building_A,Lighting_Panel_A1,Lighting Panel,208,207.64,47.66,45,19.97
